File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ01/Asm/defaults/instance-out.sql,153.66,970837.78,336.06,2123236.01
CZ01/ECC/defaults/instance-out.sql,99.09,2616269.60,251.20,6632334.72
CZ01/EPr/defaults/instance-out.sql,113.28,428811.75,257.15,973422.02
CZ01/ERC/defaults/instance-out.sql,82.86,22198.60,153.06,41004.74
CZ01/ESe/defaults/instance-out.sql,183.69,1269725.66,407.42,2816166.80
CZ01/EUn/defaults/instance-out.sql,97.36,7758586.72,268.92,21430840.02
CZ01/Fin/defaults/instance-out.sql,238.44,79747.82,616.23,206097.35
CZ01/Gro/defaults/instance-out.sql,410.33,1905941.80,1203.90,5591961.92
CZ01/Hsp/defaults/instance-out.sql,71.09,3263002.25,196.79,9032609.88
CZ01/Lib/defaults/instance-out.sql,140.28,130322.37,365.39,339461.02
CZ01/MBT/defaults/instance-out.sql,223.81,8316139.17,417.39,15508512.34
CZ01/MLI/defaults/instance-out.sql,132.71,1233073.28,284.36,2642160.83
CZ01/Mtl/defaults/instance-out.sql,65.18,181566.08,142.59,397236.04
CZ01/Nrs/defaults/instance-out.sql,91.88,947526.79,221.61,2285261.84
CZ01/OfL/defaults/instance-out.sql,68.13,2214754.94,184.41,5994942.11
CZ01/OfS/defaults/instance-out.sql,74.84,139092.91,199.23,370271.04
CZ01/Rel/defaults/instance-out.sql,348.98,648422.95,753.70,1400411.61
CZ01/RFF/defaults/instance-out.sql,289.98,107658.11,617.74,229339.83
CZ01/RSD/defaults/instance-out.sql,243.42,253394.33,495.14,515430.64
CZ01/Rt3/defaults/instance-out.sql,81.11,1808410.00,223.23,4977371.61
CZ01/RtL/defaults/instance-out.sql,167.30,2028335.95,503.70,6106913.70
CZ01/RtS/defaults/instance-out.sql,92.26,137155.35,247.09,367341.26
CZ01/SCn/defaults/instance-out.sql,116.51,5412020.61,205.32,9537320.46
CZ01/SUn/defaults/instance-out.sql,29.97,1392354.01,95.51,4436687.76
CZ01/WRf/defaults/instance-out.sql,159.57,7411951.36,528.35,24542142.46
CZ02/Asm/defaults/instance-out.sql,174.74,1103988.11,401.80,2538590.18
CZ02/ECC/defaults/instance-out.sql,112.91,2981194.08,305.65,8069982.66
CZ02/EPr/defaults/instance-out.sql,109.40,414118.25,263.67,998088.77
CZ02/ERC/defaults/instance-out.sql,76.73,20556.73,153.33,41076.12
CZ02/ESe/defaults/instance-out.sql,189.92,1312764.56,451.14,3118392.89
CZ02/EUn/defaults/instance-out.sql,109.65,8738137.56,317.34,25288850.48
CZ02/Fin/defaults/instance-out.sql,243.01,81275.58,658.27,220160.56
CZ02/Gro/defaults/instance-out.sql,418.77,1945151.28,1277.92,5935770.97
CZ02/Hsp/defaults/instance-out.sql,83.98,3854705.58,241.42,11081151.04
CZ02/Lib/defaults/instance-out.sql,139.13,129251.53,386.80,359351.69
CZ02/MBT/defaults/instance-out.sql,204.92,7614059.06,417.91,15528180.72
CZ02/MLI/defaults/instance-out.sql,123.41,1146713.50,295.78,2748275.80
CZ02/Mtl/defaults/instance-out.sql,66.91,186404.97,164.30,457710.33
CZ02/Nrs/defaults/instance-out.sql,93.69,966167.63,241.02,2485420.73
CZ02/OfL/defaults/instance-out.sql,85.59,2782568.41,247.08,8032327.31
CZ02/OfS/defaults/instance-out.sql,75.56,140424.83,211.68,393402.65
CZ02/Rel/defaults/instance-out.sql,314.99,585261.98,759.83,1411797.14
CZ02/RFF/defaults/instance-out.sql,299.20,111082.35,674.86,250546.31
CZ02/RSD/defaults/instance-out.sql,253.03,263398.57,534.70,556620.08
CZ02/Rt3/defaults/instance-out.sql,107.74,2402173.66,283.28,6316233.34
CZ02/RtL/defaults/instance-out.sql,169.38,2053614.07,517.18,6270326.25
CZ02/RtS/defaults/instance-out.sql,94.05,139825.85,263.71,392063.14
CZ02/SCn/defaults/instance-out.sql,114.80,5332445.05,246.31,11441072.76
CZ02/SUn/defaults/instance-out.sql,29.85,1386488.37,95.38,4430546.44
CZ02/WRf/defaults/instance-out.sql,198.29,9210869.97,657.99,30563980.27
CZ03/Asm/defaults/instance-out.sql,128.40,811204.94,320.96,2027841.79
CZ03/ECC/defaults/instance-out.sql,99.97,2639534.37,274.09,7236635.35
CZ03/EPr/defaults/instance-out.sql,101.85,385524.87,248.25,939713.08
CZ03/ERC/defaults/instance-out.sql,70.39,18857.30,140.01,37507.30
CZ03/ESe/defaults/instance-out.sql,164.43,1136546.71,400.86,2770813.47
CZ03/EUn/defaults/instance-out.sql,98.71,7866444.13,290.30,23134092.33
CZ03/Fin/defaults/instance-out.sql,224.18,74977.57,613.50,205185.67
CZ03/Gro/defaults/instance-out.sql,418.78,1945172.35,1302.45,6049697.76
CZ03/Hsp/defaults/instance-out.sql,72.71,3337149.74,212.98,9775530.19
CZ03/Lib/defaults/instance-out.sql,125.06,116189.06,353.90,328783.35
CZ03/MBT/defaults/instance-out.sql,177.66,6601318.34,378.22,14053229.86
CZ03/MLI/defaults/instance-out.sql,103.21,958949.50,258.70,2403724.83
CZ03/Mtl/defaults/instance-out.sql,52.56,146424.66,136.90,381383.22
CZ03/Nrs/defaults/instance-out.sql,84.24,868708.22,222.25,2291901.34
CZ03/OfL/defaults/instance-out.sql,71.87,2336550.44,212.13,6896085.64
CZ03/OfS/defaults/instance-out.sql,69.76,129649.24,197.70,367426.04
CZ03/Rel/defaults/instance-out.sql,260.38,483801.71,662.25,1230489.21
CZ03/RFF/defaults/instance-out.sql,281.72,104590.93,638.30,236973.94
CZ03/RSD/defaults/instance-out.sql,225.02,234247.43,482.40,502174.17
CZ03/Rt3/defaults/instance-out.sql,82.69,1843621.86,234.79,5235119.28
CZ03/RtL/defaults/instance-out.sql,160.52,1946162.04,496.44,6018799.73
CZ03/RtS/defaults/instance-out.sql,85.43,127003.14,246.11,365888.89
CZ03/SCn/defaults/instance-out.sql,87.89,4082496.70,193.90,9006669.54
CZ03/SUn/defaults/instance-out.sql,29.83,1385522.14,95.36,4429534.80
CZ03/WRf/defaults/instance-out.sql,199.70,9276210.78,662.73,30784434.17
CZ04/Asm/defaults/instance-out.sql,191.07,1207193.70,449.69,2841126.50
CZ04/ECC/defaults/instance-out.sql,121.63,3211238.26,338.91,8947986.78
CZ04/EPr/defaults/instance-out.sql,111.01,420202.15,276.24,1045671.50
CZ04/ERC/defaults/instance-out.sql,76.89,20598.88,160.59,43021.51
CZ04/ESe/defaults/instance-out.sql,196.99,1361609.04,484.28,3347424.74
CZ04/EUn/defaults/instance-out.sql,117.51,9364828.72,345.34,27520191.78
CZ04/Fin/defaults/instance-out.sql,249.00,83277.87,690.47,230928.86
CZ04/Gro/defaults/instance-out.sql,437.56,2032401.38,1360.33,6318556.92
CZ04/Hsp/defaults/instance-out.sql,91.36,4193537.47,267.78,12290893.26
CZ04/Lib/defaults/instance-out.sql,142.82,132683.94,408.50,379505.04
CZ04/MBT/defaults/instance-out.sql,196.53,7302477.95,423.31,15728808.72
CZ04/MLI/defaults/instance-out.sql,132.08,1227192.80,329.66,3063097.13
CZ04/Mtl/defaults/instance-out.sql,68.14,189813.00,176.67,492171.70
CZ04/Nrs/defaults/instance-out.sql,97.06,1000932.90,256.78,2647916.68
CZ04/OfL/defaults/instance-out.sql,94.48,3071301.50,278.08,9040076.85
CZ04/OfS/defaults/instance-out.sql,77.54,144112.86,222.66,413814.07
CZ04/Rel/defaults/instance-out.sql,312.56,580750.35,800.58,1487511.38
CZ04/RFF/defaults/instance-out.sql,303.83,112801.18,705.13,261784.27
CZ04/RSD/defaults/instance-out.sql,261.12,271827.00,565.54,588722.32
CZ04/Rt3/defaults/instance-out.sql,116.53,2598207.63,306.34,6830452.54
CZ04/RtL/defaults/instance-out.sql,174.70,2118052.23,539.01,6534979.48
CZ04/RtS/defaults/instance-out.sql,95.65,142195.83,275.57,409693.82
CZ04/SCn/defaults/instance-out.sql,122.71,5700005.37,287.26,13343204.38
CZ04/SUn/defaults/instance-out.sql,29.77,1383065.46,95.30,4426962.65
CZ04/WRf/defaults/instance-out.sql,215.41,10006038.72,715.33,33227693.87
CZ05/Asm/defaults/instance-out.sql,134.52,849901.54,333.59,2107601.25
CZ05/ECC/defaults/instance-out.sql,101.53,2680625.22,278.66,7357218.40
CZ05/EPr/defaults/instance-out.sql,102.29,387205.61,249.68,945146.55
CZ05/ERC/defaults/instance-out.sql,70.21,18809.34,139.98,37499.85
CZ05/ESe/defaults/instance-out.sql,166.71,1152300.05,407.51,2816802.56
CZ05/EUn/defaults/instance-out.sql,101.02,8050180.76,296.84,23655736.82
CZ05/Fin/defaults/instance-out.sql,224.67,75142.43,618.03,206700.90
CZ05/Gro/defaults/instance-out.sql,421.28,1956774.16,1315.60,6110809.34
CZ05/Hsp/defaults/instance-out.sql,74.45,3417138.67,218.33,10021296.79
CZ05/Lib/defaults/instance-out.sql,124.84,115980.97,354.52,329358.13
CZ05/MBT/defaults/instance-out.sql,182.70,6788302.48,384.56,14288902.02
CZ05/MLI/defaults/instance-out.sql,105.09,976428.02,263.39,2447281.97
CZ05/Mtl/defaults/instance-out.sql,54.93,153035.16,142.00,395596.37
CZ05/Nrs/defaults/instance-out.sql,84.59,872284.65,225.11,2321369.29
CZ05/OfL/defaults/instance-out.sql,73.75,2397662.34,218.60,7106392.66
CZ05/OfS/defaults/instance-out.sql,69.81,129747.88,199.51,370787.39
CZ05/Rel/defaults/instance-out.sql,261.99,486780.67,669.05,1243127.85
CZ05/RFF/defaults/instance-out.sql,283.51,105254.31,645.89,239790.81
CZ05/RSD/defaults/instance-out.sql,227.89,237233.19,489.53,509595.66
CZ05/Rt3/defaults/instance-out.sql,86.08,1919229.08,242.89,5415708.73
CZ05/RtL/defaults/instance-out.sql,160.68,1948061.34,497.63,6033317.71
CZ05/RtS/defaults/instance-out.sql,85.24,126722.61,247.80,368405.79
CZ05/SCn/defaults/instance-out.sql,96.82,4497578.44,212.35,9863732.97
CZ05/SUn/defaults/instance-out.sql,29.84,1385923.79,95.37,4429955.32
CZ05/WRf/defaults/instance-out.sql,200.33,9305384.15,664.81,30880952.22
CZ06/Asm/defaults/instance-out.sql,136.67,863478.63,366.43,2315092.20
CZ06/ECC/defaults/instance-out.sql,108.13,2854833.43,314.22,8296121.45
CZ06/EPr/defaults/instance-out.sql,98.64,373391.81,251.99,953895.87
CZ06/ERC/defaults/instance-out.sql,65.03,17422.21,135.77,36370.80
CZ06/ESe/defaults/instance-out.sql,158.53,1095778.63,417.04,2882665.42
CZ06/EUn/defaults/instance-out.sql,108.75,8666282.84,333.84,26603927.72
CZ06/Fin/defaults/instance-out.sql,219.14,73291.66,620.29,207457.40
CZ06/Gro/defaults/instance-out.sql,469.91,2182666.07,1520.48,7062449.17
CZ06/Hsp/defaults/instance-out.sql,79.62,3654663.60,246.10,11295837.84
CZ06/Lib/defaults/instance-out.sql,119.90,111388.72,352.96,327912.69
CZ06/MBT/defaults/instance-out.sql,146.15,5430334.67,361.08,13416422.32
CZ06/MLI/defaults/instance-out.sql,91.09,846383.00,261.88,2433256.62
CZ06/Mtl/defaults/instance-out.sql,53.90,150150.14,158.04,440256.97
CZ06/Nrs/defaults/instance-out.sql,85.61,882808.51,240.07,2475652.15
CZ06/OfL/defaults/instance-out.sql,82.16,2671032.23,256.99,8354458.62
CZ06/OfS/defaults/instance-out.sql,67.44,125343.24,198.41,368738.49
CZ06/Rel/defaults/instance-out.sql,213.94,397500.32,642.42,1193648.64
CZ06/RFF/defaults/instance-out.sql,278.76,103492.60,655.96,243529.71
CZ06/RSD/defaults/instance-out.sql,220.14,229161.44,496.01,516344.20
CZ06/Rt3/defaults/instance-out.sql,96.45,2150580.69,275.49,6142568.90
CZ06/RtL/defaults/instance-out.sql,159.91,1938699.08,502.58,6093321.39
CZ06/RtS/defaults/instance-out.sql,81.14,120624.42,244.29,363184.54
CZ06/SCn/defaults/instance-out.sql,92.84,4312285.63,243.38,11305129.75
CZ06/SUn/defaults/instance-out.sql,29.69,1379069.94,95.21,4422779.34
CZ06/WRf/defaults/instance-out.sql,228.70,10623398.89,759.92,35298837.20
CZ07/Asm/defaults/instance-out.sql,147.87,934248.52,389.43,2460458.19
CZ07/ECC/defaults/instance-out.sql,111.10,2933197.81,323.00,8527830.86
CZ07/EPr/defaults/instance-out.sql,98.08,371257.84,250.85,949577.82
CZ07/ERC/defaults/instance-out.sql,64.69,17328.93,135.20,36218.97
CZ07/ESe/defaults/instance-out.sql,158.68,1096807.94,419.23,2897792.27
CZ07/EUn/defaults/instance-out.sql,111.47,8882965.50,341.56,27219327.44
CZ07/Fin/defaults/instance-out.sql,218.05,72926.23,618.58,206883.78
