File Name,Unmet Heating (Hours),Unmet Cooling (Hours)
CZ01/Asm/defaults/instance-out.sql,0,0
CZ01/ECC/defaults/instance-out.sql,0,770.67
CZ01/EPr/defaults/instance-out.sql,0,0
CZ01/ERC/defaults/instance-out.sql,0,0
CZ01/ESe/defaults/instance-out.sql,0,0
CZ01/EUn/defaults/instance-out.sql,1.5,36.67
CZ01/Fin/defaults/instance-out.sql,0,0
CZ01/Gro/defaults/instance-out.sql,0,0
CZ01/Hsp/defaults/instance-out.sql,0,222.5
CZ01/Lib/defaults/instance-out.sql,0,0
CZ01/MBT/defaults/instance-out.sql,0,86.17
CZ01/MLI/defaults/instance-out.sql,0,0
CZ01/Mtl/defaults/instance-out.sql,0,5.67
CZ01/Nrs/defaults/instance-out.sql,0,0
CZ01/OfL/defaults/instance-out.sql,14.5,111.5
CZ01/OfS/defaults/instance-out.sql,0.33,51.33
CZ01/Rel/defaults/instance-out.sql,0,0
CZ01/RFF/defaults/instance-out.sql,0,0
CZ01/RSD/defaults/instance-out.sql,0,0
CZ01/Rt3/defaults/instance-out.sql,0,0
CZ01/RtL/defaults/instance-out.sql,0,0
CZ01/RtS/defaults/instance-out.sql,0,0
CZ01/SCn/defaults/instance-out.sql,0,0
CZ01/SUn/defaults/instance-out.sql,0,0
CZ01/WRf/defaults/instance-out.sql,0,267.17
CZ02/Asm/defaults/instance-out.sql,0,0
CZ02/ECC/defaults/instance-out.sql,0.17,1251.67
CZ02/EPr/defaults/instance-out.sql,0,0
CZ02/ERC/defaults/instance-out.sql,0,0
CZ02/ESe/defaults/instance-out.sql,1.17,1
CZ02/EUn/defaults/instance-out.sql,2,208.17
CZ02/Fin/defaults/instance-out.sql,0,0
CZ02/Gro/defaults/instance-out.sql,0,0
CZ02/Hsp/defaults/instance-out.sql,8.33,67.5
CZ02/Lib/defaults/instance-out.sql,0,0
CZ02/MBT/defaults/instance-out.sql,0,15.17
CZ02/MLI/defaults/instance-out.sql,0,0
CZ02/Mtl/defaults/instance-out.sql,0,34.67
CZ02/Nrs/defaults/instance-out.sql,0,1
CZ02/OfL/defaults/instance-out.sql,17.5,286
CZ02/OfS/defaults/instance-out.sql,0.67,140.5
CZ02/Rel/defaults/instance-out.sql,0,0
CZ02/RFF/defaults/instance-out.sql,0,0
CZ02/RSD/defaults/instance-out.sql,0,0
CZ02/Rt3/defaults/instance-out.sql,0.33,2.67
CZ02/RtL/defaults/instance-out.sql,0,0
CZ02/RtS/defaults/instance-out.sql,0,0
CZ02/SCn/defaults/instance-out.sql,0,0
CZ02/SUn/defaults/instance-out.sql,0,0
CZ02/WRf/defaults/instance-out.sql,0,375
CZ03/Asm/defaults/instance-out.sql,0,0
CZ03/ECC/defaults/instance-out.sql,0.17,698.33
CZ03/EPr/defaults/instance-out.sql,0,0
CZ03/ERC/defaults/instance-out.sql,0,0
CZ03/ESe/defaults/instance-out.sql,0,2
CZ03/EUn/defaults/instance-out.sql,1.67,120.17
CZ03/Fin/defaults/instance-out.sql,0,0
CZ03/Gro/defaults/instance-out.sql,0,0
CZ03/Hsp/defaults/instance-out.sql,1.5,121.5
CZ03/Lib/defaults/instance-out.sql,0,0
CZ03/MBT/defaults/instance-out.sql,0,11
CZ03/MLI/defaults/instance-out.sql,0,0
CZ03/Mtl/defaults/instance-out.sql,0,20.67
CZ03/Nrs/defaults/instance-out.sql,0,1.5
CZ03/OfL/defaults/instance-out.sql,15.33,191.5
CZ03/OfS/defaults/instance-out.sql,0,138.17
CZ03/Rel/defaults/instance-out.sql,0,3
CZ03/RFF/defaults/instance-out.sql,0,0
CZ03/RSD/defaults/instance-out.sql,0,0
CZ03/Rt3/defaults/instance-out.sql,0,0.17
CZ03/RtL/defaults/instance-out.sql,0,0
CZ03/RtS/defaults/instance-out.sql,0,0
CZ03/SCn/defaults/instance-out.sql,0,0
CZ03/SUn/defaults/instance-out.sql,0,0
CZ03/WRf/defaults/instance-out.sql,0,381.83
CZ04/Asm/defaults/instance-out.sql,0,0
CZ04/ECC/defaults/instance-out.sql,0,814
CZ04/EPr/defaults/instance-out.sql,0,5.33
CZ04/ERC/defaults/instance-out.sql,0,0
CZ04/ESe/defaults/instance-out.sql,0,33.33
CZ04/EUn/defaults/instance-out.sql,1,362
CZ04/Fin/defaults/instance-out.sql,0,0
CZ04/Gro/defaults/instance-out.sql,0,0
CZ04/Hsp/defaults/instance-out.sql,1.17,163.17
CZ04/Lib/defaults/instance-out.sql,0,0
CZ04/MBT/defaults/instance-out.sql,0,180
CZ04/MLI/defaults/instance-out.sql,0,0
CZ04/Mtl/defaults/instance-out.sql,0,41.17
CZ04/Nrs/defaults/instance-out.sql,0,3.5
CZ04/OfL/defaults/instance-out.sql,16.83,681.83
CZ04/OfS/defaults/instance-out.sql,0.5,216.5
CZ04/Rel/defaults/instance-out.sql,0,259.33
CZ04/RFF/defaults/instance-out.sql,0,8.5
CZ04/RSD/defaults/instance-out.sql,0,0
CZ04/Rt3/defaults/instance-out.sql,0.67,8.67
CZ04/RtL/defaults/instance-out.sql,0,0
CZ04/RtS/defaults/instance-out.sql,0,0
CZ04/SCn/defaults/instance-out.sql,0,0
CZ04/SUn/defaults/instance-out.sql,0,0
CZ04/WRf/defaults/instance-out.sql,0,448.5
CZ05/Asm/defaults/instance-out.sql,0,0
CZ05/ECC/defaults/instance-out.sql,0,574.83
CZ05/EPr/defaults/instance-out.sql,0,0
CZ05/ERC/defaults/instance-out.sql,0,0
CZ05/ESe/defaults/instance-out.sql,0,4.33
CZ05/EUn/defaults/instance-out.sql,1.33,207
CZ05/Fin/defaults/instance-out.sql,0,0
CZ05/Gro/defaults/instance-out.sql,0,0
CZ05/Hsp/defaults/instance-out.sql,5.67,171.17
CZ05/Lib/defaults/instance-out.sql,0,0
CZ05/MBT/defaults/instance-out.sql,0,8.17
CZ05/MLI/defaults/instance-out.sql,0,0
CZ05/Mtl/defaults/instance-out.sql,0,25.17
CZ05/Nrs/defaults/instance-out.sql,0,1
CZ05/OfL/defaults/instance-out.sql,14.5,215.5
CZ05/OfS/defaults/instance-out.sql,0,156.5
CZ05/Rel/defaults/instance-out.sql,0,6.67
CZ05/RFF/defaults/instance-out.sql,0,4.17
CZ05/RSD/defaults/instance-out.sql,0,0
CZ05/Rt3/defaults/instance-out.sql,0,0.17
CZ05/RtL/defaults/instance-out.sql,0,0
CZ05/RtS/defaults/instance-out.sql,0,0
CZ05/SCn/defaults/instance-out.sql,0,0
CZ05/SUn/defaults/instance-out.sql,0,0
CZ05/WRf/defaults/instance-out.sql,0,407.17
CZ06/Asm/defaults/instance-out.sql,0,4.5
CZ06/ECC/defaults/instance-out.sql,0,1015.67
CZ06/EPr/defaults/instance-out.sql,0,0
