File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ13/Asm&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,149.28,943144.68,430.67,2720991.55
CZ13/Asm&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,126.20,797344.32,353.04,2230511.75
CZ13/Asm&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,125.28,791495.98,348.93,2204579.99
CZ13/ECC&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,112.54,2971197.80,330.20,8717992.96
CZ13/ECC&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,99.85,2636345.19,284.75,7518057.02
CZ13/ECC&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,99.13,2617230.69,282.07,7447335.76
CZ13/EPr&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,123.48,467419.83,327.64,1240246.75
CZ13/EPr&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,111.31,421332.32,282.85,1070709.86
CZ13/EPr&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,110.62,418740.12,280.20,1060664.84
CZ13/ERC&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,85.42,22884.42,198.02,53048.10
CZ13/ERC&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,75.69,20277.78,160.11,42892.41
CZ13/ERC&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,75.19,20142.25,157.98,42321.92
CZ13/ESe&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,193.42,1336927.09,519.00,3587463.86
CZ13/ESe&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,185.32,1280949.93,489.74,3385150.87
CZ13/ESe&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,184.85,1277705.30,488.01,3373205.27
CZ13/EUn&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,116.87,9313206.23,362.27,28869544.18
CZ13/EUn&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,104.52,8329551.11,317.69,25316652.99
CZ13/EUn&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,103.82,8273172.88,315.08,25108959.48
CZ13/Gro&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,448.35,2082512.29,1412.57,6561221.04
CZ13/Gro&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,429.26,1993848.02,1330.75,6181180.63
CZ13/Gro&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,427.89,1987475.31,1325.02,6154566.93
CZ13/Hsp&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,95.07,4363832.81,290.22,13320846.65
CZ13/Hsp&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,91.04,4178602.20,275.64,12651482.99
CZ13/Hsp&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,90.81,4168286.52,274.81,12613755.56
CZ13/MBT&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,181.72,6752194.41,433.94,16123568.66
CZ13/MBT&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,176.48,6557330.14,414.02,15383561.73
CZ13/MBT&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,176.20,6546864.11,412.91,15342078.87
CZ13/MLI&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,135.70,1260897.07,417.38,3878113.91
CZ13/MLI&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,114.60,1064773.63,332.42,3088680.52
CZ13/MLI&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,113.45,1054111.13,327.70,3044824.97
CZ13/Mtl&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,77.11,214800.42,236.83,659766.35
CZ13/Mtl&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,65.59,182716.08,191.48,533432.17
CZ13/Mtl&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,64.96,180953.84,188.94,526340.75
CZ13/Nrs&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,107.41,1107591.46,304.06,3135453.19
CZ13/Nrs&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,100.82,1039645.24,279.89,2886237.71
CZ13/Nrs&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,100.61,1037455.26,278.76,2874582.16
CZ13/OfL&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,92.44,3005239.84,297.22,9662320.23
CZ13/OfL&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,76.52,2487691.40,241.03,7835475.83
CZ13/OfL&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,75.62,2458263.02,237.77,7729594.90
CZ13/OfS&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,96.38,179129.76,290.30,539522.21
CZ13/OfS&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,77.26,143588.42,219.63,408188.11
CZ13/OfS&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,76.20,141617.27,215.57,400627.22
CZ13/RFF&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,328.34,121899.96,810.30,300831.66
CZ13/RFF&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,304.21,112940.62,717.24,266281.30
CZ13/RFF&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,302.96,112474.91,712.04,264349.58
CZ13/RSD&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,282.65,294230.65,637.29,663414.07
CZ13/RSD&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,278.15,289553.84,620.51,645945.25
CZ13/RSD&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,277.93,289320.29,619.60,644997.85
CZ13/Rt3&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,106.66,2378109.01,335.21,7474157.38
CZ13/Rt3&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,92.25,2056859.75,282.03,6288403.92
CZ13/Rt3&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,91.48,2039800.17,279.12,6223439.69
CZ13/RtL&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-Cnst/instance-out.sql,196.88,2386971.49,620.21,7519456.95
CZ13/RtL&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-VFDStdMtr/instance-out.sql,170.19,2063345.70,522.62,6336243.81
CZ13/RtL&0&cDXGF&Ex&HV_AirDist/NE-HV_AirDist-SupFanMtr-cDXGF-2SpClgHtg-SRM/instance-out.sql,168.75,2045932.50,517.24,6271071.30
